symbol,name,sector
360ONE,360 ONE WAM Ltd.,Financial Services
ABB,ABB India Ltd.,Capital Goods
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
ADANIENSOL,Adani Energy Solutions Ltd.,Power
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,Adani Power Ltd.,Power
ALKEM,Alkem Laboratories Ltd.,Healthcare
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
ASTRAL,Astral Ltd.,Capital Goods
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
AUBANK,AU Small Finance Bank Ltd.,Financial Services
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
AXISBANK,Axis Bank Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
BDL,Bharat Dynamics Ltd.,Capital Goods
BEL,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BIOCON,Biocon Ltd.,Healthcare
BLUESTARCO,Blue Star Ltd.,Consumer Durables
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
BSE,BSE Ltd.,Financial Services
CANBK,Canara Bank,Financial Services
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods
COFORGE,Coforge Ltd.,Information Technology
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
CUMMINSIND,Cummins India Ltd.,Capital Goods
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
DLF,DLF Ltd.,Realty
DMART,Avenue Supermarts Ltd.,Consumer Services
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
ENRIN,Siemens Energy India Ltd.,Capital Goods
ETERNAL,Eternal Ltd.,Consumer Services
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components
FEDERALBNK,Federal Bank Ltd.,Financial Services
FORTIS,Fortis Healthcare Ltd.,Healthcare
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare
GMRAIRPORT,GMR Airports Ltd.,Services
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJPROP,Godrej Properties Ltd.,Realty
GRASIM,Grasim Industries Ltd.,Construction Materials
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services
GVT&D,GE Vernova T&D India Ltd.,Capital Goods
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HAVELLS,Havells India Ltd.,Consumer Durables
HCLTECH,HCL Technologies Ltd.,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services
ICICIBANK,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
IDEA,Vodafone Idea Ltd.,Telecommunication
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services
INDIANB,Indian Bank,Financial Services
INDIGO,InterGlobe Aviation Ltd.,Services
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INFY,Infosys Ltd.,Information Technology
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining
JIOFIN,Jio Financial Services Ltd.,Financial Services
JSWENERGY,JSW Energy Ltd.,Power
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables
KEI,KEI Industries Ltd.,Capital Goods
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
KPITTECH,KPIT Technologies Ltd.,Information Technology
LAURUSLABS,Laurus Labs Ltd.,Healthcare
LENSKART,Lenskart Solutions Ltd.,Consumer Services
LGEINDIA,LG Electronics India Ltd.,Consumer Durables
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services
LODHA,Lodha Developers Ltd.,Realty
