symbol,name,sector,start_date,end_date
A,Agilent Technologies,Health Care,1976-07-01,
AA,Alcoa,,1976-07-01,2016-11-01
AA,Alcoa,Materials,2021-12-20,
AAL,American Airlines Group,,2015-03-23,2024-09-23
AAL,American Airlines Group,Industrials,2024-09-23,
AAON,AAON,Industrials,2024-05-03,
AAP,Advance Auto Parts,,2015-07-08,2023-08-25
AAPL,Apple Inc.,Information Technology,1976-07-01,
AAXN,Axon Enterprise,,2019-07-01,
ABBV,AbbVie,Health Care,2013-01-02,
ABK,Ambac Financial,,2000-12-05,2008-06-10
ABMD,Abiomed,,2012-01-13,2018-05-31
ABMD,Abiomed,,2018-05-31,2022-12-22
ABNB,Airbnb,Consumer Discretionary,2023-09-18,
ABS,Albertsons,,1976-07-01,2006-06-02
ABT,Abbott Laboratories,Health Care,1976-07-01,
ACAS,American Capital,,1976-07-01,2009-03-03
ACC,American Campus Communities,,2012-01-13,2022-08-10
ACE,Chubb,,1976-07-01,2016-01-19
ACGL,Arch Capital Group,Financials,2022-11-01,
ACHC,Acadia Healthcare,,2017-04-06,2025-09-22
ACI,Albertsons,Consumer Staples,2012-01-13,2013-12-20
ACI,Albertsons,Consumer Staples,2025-03-11,
ACIW,ACI Worldwide,,2012-01-13,2023-11-13
ACM,AECOM,Industrials,2012-01-13,
ACN,Accenture,Information Technology,2011-07-05,
ACT,Actavis,,1999-04-12,
ADBE,Adobe Inc.,Information Technology,1976-07-01,
ADC,Agree Realty,Real Estate,2023-02-06,
ADCT,ADC Telecommunications,,1976-07-01,2007-07-02
ADI,Analog Devices,Information Technology,1976-07-01,
ADM,Archer Daniels Midland,Consumer Staples,1976-07-01,
ADNT,Adient,,2018-08-22,2024-09-23
ADP,Automatic Data Processing,Industrials,1976-07-01,
ADS,Alliance Data Systems,,2012-01-13,2013-12-20
ADS,Alliance Data Systems,,2013-12-23,2020-06-22
ADS,Alliance Data Systems,,2020-06-22,
ADSK,Autodesk,Information Technology,1976-07-01,
ADT,ADT,,2012-10-01,2016-05-03
ADTN,ADTRAN,,2012-01-13,2014-10-31
AEE,Ameren,Utilities,1976-07-01,
AEIS,Advanced Energy,Information Technology,2026-02-02,
AEO,American Eagle Outfitters,,2012-01-13,2022-09-19
AEP,American Electric Power,Utilities,1976-07-01,
AES,AES Corporation,Utilities,1976-07-01,
AET,Aetna,,1976-07-01,2018-12-03
AFG,American Financial Group,Financials,2012-01-13,
AFL,Aflac,Financials,1976-07-01,
AGCO,AGCO,Industrials,2012-01-13,
AGN,Allergan,,1976-07-01,2015-03-23
AGN,Allergan,,1976-07-01,2020-05-12
AGP,AMERIGROUP,,2012-01-13,2012-12-21
AHL,Aspen Insurance Holdings,,2012-01-13,2019-02-21
AHR,American Healthcare REIT,Real Estate,2026-02-02,
AIG,American International Group,Financials,1976-07-01,
AINV,Apollo Investment,,2012-01-13,2014-02-28
AIRC,Apartment Income REIT,,2020-12-21,2024-06-28
AIT,Applied Industrial Technologies,Industrials,2024-03-18,
AIV,Apartment Investment & Management,,1976-07-01,2020-12-21
AIZ,Assurant,Financials,1976-07-01,
AJG,Arthur J. Gallagher & Co.,,2012-01-13,2016-05-27
AJG,Arthur J. Gallagher & Co.,Financials,2016-05-31,
AKAM,Akamai Technologies,Information Technology,1976-07-01,
AKS,AK Steel,,2008-07-01,2011-12-16
ALB,Albemarle Corporation,,2012-01-13,2016-06-30
ALB,Albemarle Corporation,Materials,2016-07-01,
